video_name,821_2,,,,,,,,,
start,565,830,1103,1368,1637,1911,2180,2453,2722,2992
cand_change,578,839,1109,1374,1647,1912,2186,2459,2728,3001
pinyin_change,577,835,1108,1373,1646,1916,2185,2458,2728,2997

video_name,IMG_0185
cand,70.83,41.67,25.0,20.83,25.0,41.67,41.67,20.83,25.0,41.67
pinyin,25.0,37.5,20.83,20.83,20.83,20.83,20.83,20.83,20.83,37.5
start,746,1007,1272,1542,1811,2080,2349,2619,2888,3145
cand_change,763,1017,1278,1547,1817,2090,2359,2624,2894,3155
pinyin_change,752,1016,1277,1547,1816,2085,2354,2624,2893,3154

video_name,IMG_0186
cand,66.67,20.83,37.5,25.0,20.83,20.83,20.83,37.5,20.83,20.83
pinyin,41.67,20.83,20.83,20.83,20.83,20.83,20.83,37.5,20.83,20.83
start,534,811,1084,1354,1619,1892,2165,2426,2700,2969
cand_change,550,816,1093,1360,1624,1897,2170,2435,2705,2974
pinyin_change,544,816,1089,1359,1624,1897,2170,2435,2705,2974

video_name,IMG_0187
cand,54.17,58.33,20.83,25.0,25.0,25.0,41.67,37.5,37.5,41.67
pinyin,54.17,54.17,20.83,20.83,20.83,20.83,25.0,37.5,20.83,37.5
start,547,812,1086,1355,1620,1897,2170,2436,2701,2966
cand_change,560,826,1091,1361,1626,1903,2180,2445,2710,2976
pinyin_change,560,825,1091,1360,1625,1902,2176,2445,2706,2975

video_name,IMG_0188
cand,37.5,25.0,4.17,20.83,37.5,25.0,25.0,20.83,20.83,37.5
pinyin,70.83,25.0,20.83,20.83,20.83,20.83,25.0,20.83,20.83,20.83
start,607,872,1146,1419,1696,1969,2246,2516,2789,3054
cand_change,616,878,1147,1424,1705,1975,2252,2521,2794,3063
pinyin_change,624,878,1151,1424,1701,1974,2252,2521,2794,3059

video_name,IMG_0189
cand,58.33,41.67,37.5,25.0,25.0,41.67,25.0,25.0,41.67,41.67
pinyin,37.5,20.83,20.83,20.83,25.0,37.5,20.83,20.83,25.0,37.5
start,607,881,1154,1423,1688,1954,2227,2496,2769,3039
cand_change,621,891,1163,1429,1694,1964,2233,2502,2779,3049
pinyin_change,616,886,1159,1428,1694,1963,2232,2501,2775,3048

video_name,820_2
cand,8.33,12.5,12.5,8.33,8.33,8.33,12.5,8.33,8.33,8.33
pinyin,20.83,25.0,8.33,25.0,8.33,16.67,8.33,8.33,25.0,12.5
start,649,922,1203,1481,1762,2036,2321,2598,2880,3157
cand_change,651,925,1206,1483,1764,2038,2324,2600,2882,3159
pinyin_change,654,928,1205,1487,1764,2040,2323,2600,2886,3160

video_name,820_3
cand,25.0,12.5,12.5,12.5,25.0,25.0,12.5,16.67,29.17,8.33
pinyin,20.83,8.33,29.17,25.0,20.83,20.83,8.33,12.5,29.17,8.33
start,591,876,1149,1427,1708,1986,2262,2544,2821,3099
